frankenstein word,frankenstein count,call of the wild word,call of the wild count
the,4370,the,2469
and,3046,and,1608
i,2850,of,998
of,2759,he,816
to,2174,to,756
my,1776,a,720
a,1448,was,698
in,1184,in,596
that,1032,his,559
was,1022,it,386
me,864,with,351
with,714,that,322
but,692,buck,312
had,686,him,290
you,642,they,290
he,610,had,274
which,565,as,268
it,562,for,264
as,538,on,237
his,535,at,223
not,531,were,217
for,489,not,206
by,485,but,202
on,471,by,183
this,449,or,179
from,400,from,167
be,378,them,154
her,373,this,148
have,370,out,141
is,333,all,137
at,332,into,131
when,329,which,131
were,308,you,122
your,262,their,115
or,256,one,114
she,256,dogs,112
him,221,when,111
all,218,down,110
an,215,no,105
if,214,up,103
they,213,did,97
so,211,man,93
one,208,so,91
will,201,an,89
could,198,project,87
are,195,back,85
been,190,could,81
their,186,there,81
we,183,thornton,81
would,183,upon,81
no,182,be,78
who,177,through,76
more,166,men,74
these,157,more,73
should,155,time,72
now,154,day,70
yet,152,would,69
before,148,work,68
some,148,made,66
myself,136,came,65
do,135,life,64
what,133,who,62
man,131,other,60
our,130,sled,60
its,129,spitz,60
upon,128,over,59
am,126,where,59
them,126,dog,57
only,125,never,57
into,124,gutenberg-tm,56
any,121,is,56
did,119,like,56
life,115,two,55
may,114,while,55
father,112,again,54
than,112,any,54
every,109,though,54
then,109,camp,53
first,108,head,53
might,108,long,53
own,107,been,52
shall,107,her,52
eyes,104,francois,51
can,103,then,50
said,102,feet,49
how,99,great,49
time,98,buck's,47
being,96,way,47
even,96,went,46
saw,94,days,45
towards,94,under,45
such,93,about,44
those,92,away,44
most,91,do,44
found,90,himself,44
other,89,its,44
elizabeth,88,knew,44
night,87,last,44
project,87,than,43
mind,85,,
again,83,saw,41
there,82,trail,41
whom,81,eyes,40
day,80,john,40
where,80,night,40
felt,79,she,40
after,78,till,39
work,78,too,39
death,77,only,38
feelings,76,three,38
heart,76,wild,38
very,76,half,37
must,74,hundred,37
thought,74,perrault,37
up,73,before,36
dear,72,if,36
friend,71,first,35
soon,71,after,34
made,70,club,34
many,70,side,34
while,69,every,33
also,68,get,33
still,68,off,33
during,67,what,33
passed,67,each,32
has,66,fire,32
never,66,many,32
thus,66,works,32
miserable,65,between,31
,,have,31
same,64,i,31
us,64,snow,31
few,62,such,31
heard,62,things,31
about,61,another,30
became,61,gutenberg,30
like,61,hal,30
sometimes,60,old,30
clerval,59,team,30
love,59,teeth,30
place,59,found,29
human,58,left,29
little,58,once,29
over,58,behind,28
appeared,57,go,28
gutenberg-tm,56,hand,28
indeed,56,ice,28
often,56,took,28
country,55,traces,28
justine,54,because,27
misery,54,electronic,27
words,54,end,27
although,53,face,27
away,53,nor,27
friends,53,sol-leks,27
see,53,thing,27
nature,52,very,27
old,52,water,27
return,52,around,26
several,52,body,26
until,52,fell,26
among,51,forth,26
cottage,51,now,26
days,51,seemed,26
hope,51,sprang,26
cannot,50,wolf,26
feel,50,are,25
great,50,even,25
know,50,forest,25
whose,50,rest,25
felix,49,some,25
happiness,49,without,25
through,49,call,24
despair,48,dave,24
long,47,nothing,24
another,46,place,24
happy,46,own,23
voice,46,said,23
alone,45,still,23
ever,45,stood,23
poor,45,foundation,22
sun,45,know,22
world,45,should,22
years,45,terms,22
horror,44,turned,22
men,44,well,22
much,44,air,21
scene,44,cried,21
well,44,love,21
part,43,mates,21
came,42,morning,21
new,42,run,21
creature,41,strength,21
ice,41,thornton's,21
joy,41,against,20
light,41,bank,20
affection,40,called,20
almost,40,can,20
fear,40,dawson,20
out,40,dead,20
works,40,good,20
countenance,39,lay,20
far,39,mercedes,20
make,39,these,20
months,39,times,20
near,39,along,19
nothing,39,make,19
power,39,may,19
come,38,miles,19
entered,38,neck,19
hands,38,ran,19
house,38,rope,19
thoughts,38,throat,19
two,38,whip,19
without,38,yet,19
himself,37,agreement,18
moment,37,broke,18
morning,37,brought,18
mountains,37,come,18
pleasure,37,full,18
possessed,37,how,18
therefore,37,huskies,18
cause,36,leap,18
earth,36,less,18
geneva,36,matter,18
good,36,right,18
journey,36,straight,18
seemed,36,being,17
soul,36,fear,17
took,36,hans,17
here,35,heard,17
kind,35,held,17
left,35,here,17
nor,35,must,17
why,35,part,17
within,35,pride,17
around,34,put,17
believe,34,river,17
discovered,34,seen,17
down,34,white,17
forever,34,among,16
gentle,34,became,16
hours,34,hair,16
already,33,hard,16
become,33,hour,16
child,33,legs,16
continued,33,little,16
however,33,new,16
idea,33,open,16
knowledge,33,pain,16
last,33,toil,16
lost,33,across,15
rest,33,alone,15
sea,33,donations,15
spirit,33,dropped,15
taken,33,got,15
delight,32,kept,15
frankenstein,32,later,15
gave,32,license,15
knew,32,living,15
once,32,load,15
peace,32,much,15
remained,32,nose,15
resolved,32,pete,15
sensations,32,states,15
strange,32,strange,15
tale,32,we,15
tears,32,whole,15
whole,32,charles,14
beheld,31,cold,14
cold,31,dat,14
existence,31,death,14
family,31,fight,14
fiend,31,gave,14
form,31,ground,14
manner,31,hands,14
mother,31,looked,14
nearly,31,next,14
read,31,pounds,14
returned,31,pulled,14
room,31,see,14
spirits,31,shoulder,14
under,31,sometimes,14
appearance,30,sound,14
companion,30,tent,14
full,30,together,14
monster,30,world,14
present,30,ahead,13
too,30,archive,13
young,30,blood,13
arrived,29,brother,13
change,29,copyright,13
gutenberg,29,cut,13
letter,29,drew,13
looked,29,felt,13
loved,29,four,13
mine,29,going,13
state,29,gone,13
terms,29,grew,13
think,29,itself,13
beautiful,28,just,13
began,28,land,13
brought,28,law,13
desire,28,literary,13
each,28,longer,13
endeavoured,28,lost,13
fellow,28,manner,13
girl,28,most,13
grief,28,often,13
lake,28,outside,13
lay,28,pack,13
let,28,passed,13
native,28,pike,13
oh,28,red,13
placed,28,sir,13
science,28,slowly,13
sister,28,spring,13
victor,28,started,13
air,27,struck,13
beauty,27,toward,13
electronic,27,your,13
feeling,27,also,12
food,27,anything,12
forth,27,billee,12
free,27,break,12
greatest,27,caught,12
hardly,27,charge,12
kindness,27,copy,12
length,27,driver,12
rather,27,fast,12
replied,27,followed,12
since,27,fore,12
thousand,27,forward,12
various,27,harness,12
wind,27,heavy,12
yourself,27,heels,12
agony,26,husky,12
beloved,26,joe,12
called,26,movement,12
concerning,26,muscles,12
dark,26,nights,12
expressed,26,others,12
ground,26,rage,12
hand,26,received,12
henry,26,remained,12
live,26,set,12
lovely,26,sleep,12
means,26,sweater,12
murderer,26,thousand,12
others,26,travel,12
perceived,26,trees,12
quickly,26,use,12
seek,26,valley,12
suddenly,26,above,11
town,26,always,11
cousin,25,ate,11
desired,25,big,11
died,25,both,11
greater,25,circle,11
having,25,cunning,11
head,25,curly,11
rage,25,distance,11
sat,25,dragged,11
sight,25,ebook,11
spent,25,fall,11
spoke,25,few,11
william,25,front,11
wood,25,half-breed,11
wretch,25,heart,11
always,24,heem,11
anguish,24,instant,11
chapter,24,judge,11
degree,24,killed,11
die,24,lived,11
door,24,nature,11
end,24,paragraph,11
filled,24,running,11
fire,24,second,11
fixed,24,snarling,11
give,24,soft,11
hour,24,start,11
natural,24,take,11
occupied,24,terrible,11
revenge,24,tongue,11
safie,24,will,11
turned,24,yeehats,11
wish,24,access,10
wretched,24,beaten,10
appear,23,best,10
body,23,broken,10
cottagers,23,bull,10
creatures,23,carried,10
dead,23,close,10
destroyed,23,comes,10
endured,23,coming,10
enemy,23,country,10
evil,23,fact,10
find,23,far,10
home,23,fashion,10
imagination,23,frost,10
lived,23,greater,10
longer,23,kill,10
m,23,lash,10
say,23,laughed,10
sweet,23,learned,10
attention,22,mad,10
beings,22,main,10
care,22,meat,10
destroy,22,might,10
destruction,22,money,10
followed,22,neither,10
foundation,22,poor,10
hopes,22,public,10
itself,22,refund,10
leave,22,returned,10
promise,22,same,10
quitted,22,sat,10
remain,22,save,10
sound,22,say,10
take,22,shoulders,10
unable,22,strong,10
account,21,suddenly,10
against,21,themselves,10
agatha,21,those,10
answer,21,threw,10
brother,21,timber,10
england,21,trademark,10
father's,21,trouble,10
formed,21,united,10
future,21,watched,10
